"","TYPE","ZONE","CASES","DEATH","DATE"
"988","Long-Term Care","Calgary",1,0,2020-11-11
"989","Long-Term Care","Edmonton",1,0,2020-11-11
"990","School","Calgary",2,0,2020-11-11
"991","Social Service","Calgary",1,0,2020-11-11
"992","Manufacturing","Calgary",97,0,2020-11-11
"993","Childcare","Calgary",9,0,2020-11-11
"994","Long-Term Care","Calgary",2,0,2020-11-11
"995","School","Calgary",7,0,2020-11-11
"996","Long-Term Care","Edmonton",8,1,2020-11-11
"997","Group Home","Calgary",5,0,2020-11-11
"998","Long-Term Care","Edmonton",1,0,2020-11-11
"999","Social Service","Calgary",1,0,2020-11-11
"1000","Gym/Sports","South",5,0,2020-11-11
"1001","Construction","Edmonton",9,0,2020-11-11
"1002","School","South",3,0,2020-11-11
"1003","Long-Term Care","Edmonton",59,7,2020-11-11
"1004","Gym/Sports","Calgary",32,0,2020-11-11
"1005","Long-Term Care","Calgary",4,0,2020-11-11
"1006","School","North",3,0,2020-11-11
"1007","Food Manufacturing","Edmonton",4,0,2020-11-11
"1008","Social Service","Edmonton",2,0,2020-11-11
"1009","Long-Term Care","North",1,0,2020-11-11
"1010","School","Calgary",5,0,2020-11-11
"1011","School","Edmonton",9,0,2020-11-11
"1012","Long-Term Care","Calgary",1,0,2020-11-11
"1013","Long-Term Care","Central",9,1,2020-11-11
"1014","Long-Term Care","North",9,1,2020-11-11
"1015","Social Service","Central",5,0,2020-11-11
"1016","School","Calgary",2,0,2020-11-11
"1017","Junior/High School","North",6,0,2020-11-11
"1018","Junior/High School","Calgary",6,0,2020-11-11
"1019","Junior/High School","Calgary",6,0,2020-11-11
"1020","School","Edmonton",2,0,2020-11-11
"1021","School","Central",2,0,2020-11-11
"1022","School","Calgary",3,0,2020-11-11
"1023","Junior/High School","North",3,0,2020-11-11
"1024","Long-Term Care","Calgary",14,1,2020-11-11
"1025","Long-Term Care","Calgary",5,0,2020-11-11
"1026","Junior/High School","Edmonton",7,0,2020-11-11
"1027","School","Calgary",8,0,2020-11-11
"1028","School","Calgary",5,0,2020-11-12
"1029","Long-Term Care","Calgary",2,0,2020-11-12
"1030","School","Calgary",3,0,2020-11-12
"1031","Junior/High School","Edmonton",7,0,2020-11-12
"1032","School","North",2,0,2020-11-12
"1033","Medical","South",6,0,2020-11-12
"1034","School","Calgary",8,0,2020-11-12
"1035","Manufacturing","Edmonton",9,0,2020-11-12
"1036","School","Edmonton",3,0,2020-11-12
"1037","School","Calgary",4,0,2020-11-12
"1038","Long-Term Care","Calgary",1,1,2020-11-12
"1039","Long-Term Care","Calgary",5,0,2020-11-12
"1040","Junior/High School","Edmonton",4,0,2020-11-12
"1041","Food Manufacturing","South",4,0,2020-11-12
"1042","Junior/High School","Central",8,0,2020-11-12
"1043","Junior/High School","South",7,0,2020-11-12
"1044","Long-Term Care","Edmonton",54,12,2020-11-15
"1045","Long-Term Care","Edmonton",2,0,2020-11-15
"1046","Group Home","Calgary",9,0,2020-11-15
"1047","Long-Term Care","Calgary",2,0,2020-11-15
"1048","Long-Term Care","Calgary",4,0,2020-11-15
"1049","Long-Term Care","Edmonton",4,0,2020-11-15
"1050","Long-Term Care","Edmonton",5,0,2020-11-15
"1051","Long-Term Care","Calgary",5,0,2020-11-15
"1052","Social Service","Calgary",11,0,2020-11-15
"1053","Social Service","Calgary",7,0,2020-11-15
"1054","Social Service","Edmonton",4,0,2020-11-15
"1055","Social Service","Calgary",14,0,2020-11-15
"1056","Grocery/Essential","Calgary",12,0,2020-11-15
"1057","Social Service","South",5,0,2020-11-15
"1058","Social Service","Edmonton",5,0,2020-11-15
"1059","School","Calgary",6,0,2020-11-15
"1060","Junior/High School","North",3,0,2020-11-15
"1061","School","Edmonton",3,0,2020-11-15
"1062","Junior/High School","South",3,0,2020-11-15
"1063","Long-Term Care","Edmonton",16,2,2020-11-15
"1064","Junior/High School","Edmonton",4,0,2020-11-15
"1065","Long-Term Care","Edmonton",1,0,2020-11-15
"1066","Long-Term Care","Edmonton",1,0,2020-11-15
"1067","Long-Term Care","Calgary",1,0,2020-11-15
"1068","Long-Term Care","Edmonton",1,0,2020-11-15
"1069","Gym/Sports","Calgary",11,0,2020-11-15
"1070","Gym/Sports","Calgary",7,0,2020-11-15
"1071","Correctional","Edmonton",53,0,2020-11-15
"1072","School","North",10,0,2020-11-15
"1073","Gym/Sports","Central",6,0,2020-11-15
"1074","School","Calgary",4,0,2020-11-15
"1075","School","Calgary",4,0,2020-11-15
"1076","School","Edmonton",4,0,2020-11-15
"1077","School","Edmonton",5,0,2020-11-15
"1078","School","Calgary",10,0,2020-11-15
"1079","Long-Term Care","Calgary",195,27,2020-11-15
"1080","Church","Calgary",12,0,2020-11-15
"1081","Social Service","South",2,0,2020-11-15
"1082","Gym/Sports","South",1,0,2020-11-15
"1083","Long-Term Care","Edmonton",35,3,2020-11-15
"1084","Childcare","Central",3,0,2020-11-15
"1085","Communal","North",28,0,2020-11-15
"1086","Manufacturing","Edmonton",56,0,2020-11-15
"1087","Acute Care","North",1,0,2020-11-15
"1088","Social Service","Edmonton",1,0,2020-11-15
"1089","Long-Term Care","Calgary",53,6,2020-11-15
"1090","Social Service","Edmonton",1,0,2020-11-15
"1091","Social Service","Edmonton",1,0,2020-11-16
"1092","Social Service","Edmonton",27,0,2020-11-16
"1093","Long-Term Care","Central",2,0,2020-11-16
"1094","Long-Term Care","Calgary",2,0,2020-11-16
"1095","Social Service","Calgary",6,0,2020-11-16
"1096","Acute Care","North",22,5,2020-11-16
"1097","Long-Term Care","Edmonton",24,0,2020-11-16
"1098","Private","Calgary",6,0,2020-11-16
"1099","Childcare","South",1,1,2020-11-16
"1100","Long-Term Care","Edmonton",52,4,2020-11-16
"1101","Gym/Sports","Calgary",14,0,2020-11-16
"1102","Private","South",12,0,2020-11-16
"1103","Long-Term Care","Calgary",7,0,2020-11-16
"1104","Long-Term Care","South",1,0,2020-11-16
"1105","School","North",4,0,2020-11-16
"1106","School","Calgary",4,0,2020-11-16
"1107","Long-Term Care","South",7,2,2020-11-16
"1108","Long-Term Care","North",1,0,2020-11-16
"1109","School","Edmonton",3,0,2020-11-16
"1110","Social Service","Edmonton",4,0,2020-11-17
"1111","Shelter","Calgary",1,0,2020-11-17
"1112","Food Manufacturing","Central",552,3,2020-11-17
"1113","Acute Care","Calgary",13,2,2020-11-17
"1114","Social Service","Calgary",4,0,2020-11-17
"1115","Social Service","Central",1,0,2020-11-17
"1116","Social Service","Edmonton",1,0,2020-11-17
"1117","Gym/Sports","Calgary",7,0,2020-11-17
"1118","Medical","Calgary",8,0,2020-11-17
"1119","Long-Term Care","Edmonton",87,16,2020-11-17
"1120","Long-Term Care","Edmonton",42,8,2020-11-17
"1121","School","Calgary",2,0,2020-11-17
"1122","Group Home","Calgary",2,0,2020-11-17
"1123","Manufacturing","Edmonton",14,0,2020-11-17
"1124","Long-Term Care","Central",37,5,2020-11-17
"1125","Long-Term Care","Edmonton",87,12,2020-11-17
"1126","Long-Term Care","Calgary",38,2,2020-11-17
"1127","School","Calgary",2,0,2020-11-17
"1128","Junior/High School","Calgary",2,0,2020-11-17
"1129","School","Calgary",5,0,2020-11-18
"1130","Long-Term Care","Calgary",2,0,2020-11-18
"1131","Food Manufacturing","South",9,0,2020-11-18
"1132","Social Service","Edmonton",1,0,2020-11-18
"1133","Junior/High School","Edmonton",5,0,2020-11-18
"1134","School","South",2,0,2020-11-18
"1135","Correctional","North",22,0,2020-11-18
"1136","Construction","Calgary",6,0,2020-11-18
"1137","Long-Term Care","Central",1,0,2020-11-18
"1138","Junior/High School","Calgary",4,0,2020-11-18
"1139","Junior/High School","North",7,0,2020-11-18
"1140","School","Edmonton",6,0,2020-11-18
"1141","Frontline","Calgary",5,0,2020-11-18
"1142","Long-Term Care","Edmonton",56,4,2020-11-19
"1143","Private","Calgary",6,0,2020-11-19
"1144","Long-Term Care","Edmonton",3,1,2020-11-19
"1145","Long-Term Care","South",1,0,2020-11-19
"1146","Social Service","North",10,0,2020-11-19
"1147","Business","Edmonton",5,0,2020-11-19
"1148","Long-Term Care","Calgary",1,0,2020-11-19
"1149","Junior/High School","Central",11,0,2020-11-19
"1150","Long-Term Care","Calgary",93,15,2020-11-19
"1151","Long-Term Care","Calgary",1,0,2020-11-19
"1152","Long-Term Care","South",10,1,2020-11-19
"1153","School","South",2,0,2020-11-19
"1154","Long-Term Care","Central",14,0,2020-11-19
"1155","School","South",2,0,2020-11-19
"1156","Private","Calgary",9,0,2020-11-19
"1157","Private","Edmonton",3,0,2020-11-20
"1158","Acute Care","Edmonton",4,0,2020-11-20
"1159","Long-Term Care","Edmonton",1,0,2020-11-20
"1160","Long-Term Care","Edmonton",1,0,2020-11-20
"1161","Long-Term Care","Edmonton",41,7,2020-11-20
"1162","Long-Term Care","Edmonton",143,19,2020-11-20
"1163","Junior/High School","Edmonton",4,0,2020-11-20
"1164","Long-Term Care","Calgary",5,0,2020-11-20
"1165","Social Service","Calgary",3,0,2020-11-20
"1166","Long-Term Care","South",6,0,2020-11-20
"1167","Long-Term Care","Edmonton",2,0,2020-11-20
"1168","Social Service","Edmonton",1,0,2020-11-20
"1169","Long-Term Care","Edmonton",2,0,2020-11-20
"1170","School","Calgary",2,0,2020-11-20
"1171","Junior/High School","Edmonton",5,0,2020-11-20
"1172","Long-Term Care","Calgary",28,1,2020-11-20
"1173","Gym/Sports","Calgary",8,0,2020-11-20
"1174","Junior/High School","Edmonton",2,0,2020-11-20
"1175","Junior/High School","South",2,0,2020-11-20
"1176","School","Calgary",3,0,2020-11-20
"1177","Junior/High School","Calgary",7,0,2020-11-20
"1178","Long-Term Care","Edmonton",19,1,2020-11-20
"1179","Long-Term Care","Central",4,0,2020-11-20
"1180","Long-Term Care","Edmonton",1,0,2020-11-21
"1181","Long-Term Care","Calgary",33,1,2020-11-21
"1182","Long-Term Care","Central",5,1,2020-11-21
"1183","Acute Care","South",11,1,2020-11-21
"1184","Social Service","Edmonton",11,0,2020-11-21
"1185","Gym/Sports","Edmonton",7,0,2020-11-21
"1186","Long-Term Care","Calgary",1,0,2020-11-21
"1187","Junior/High School","Edmonton",4,0,2020-11-21
"1188","Long-Term Care","Edmonton",16,0,2020-11-21
"1189","School","Edmonton",5,0,2020-11-21
"1190","Long-Term Care","Edmonton",2,0,2020-11-21
"1191","School","Edmonton",2,0,2020-11-21
"1192","School","Edmonton",3,0,2020-11-21
"1193","School","Central",7,0,2020-11-21
"1194","Long-Term Care","Edmonton",1,0,2020-11-21
"1195","School","Edmonton",6,0,2020-11-21
"1196","Communal","North",23,0,2020-11-21
"1197","Social Service","North",13,1,2020-11-21
"1198","Long-Term Care","Edmonton",41,5,2020-11-21
"1199","School","Calgary",4,0,2020-11-21
"1200","School","Calgary",4,0,2020-11-21
"1201","School","Calgary",4,0,2020-11-21
"1202","Long-Term Care","Central",3,0,2020-11-21
"1203","School","Central",3,0,2020-11-21
"1204","Church","Edmonton",4,0,2020-11-21
"1205","School","Calgary",7,0,2020-11-21
"1206","Long-Term Care","Edmonton",61,9,2020-11-21
"1207","Junior/High School","Calgary",3,0,2020-11-22
"1208","Food Manufacturing","Calgary",14,0,2020-11-22
"1209","School","Edmonton",5,0,2020-11-22
"1210","School","Edmonton",5,0,2020-11-22
"1211","Gym/Sports","Edmonton",3,0,2020-11-22
"1212","School","Edmonton",4,0,2020-11-22
"1213","Long-Term Care","Edmonton",10,0,2020-11-22
"1214","Long-Term Care","Central",73,12,2020-11-22
"1215","Junior/High School","Calgary",3,0,2020-11-22
"1216","Junior/High School","Calgary",2,0,2020-11-22
"1217","Social Service","Calgary",1,0,2020-11-22
"1218","Long-Term Care","Edmonton",249,48,2020-11-22
"1219","School","Calgary",8,0,2020-11-22
"1220","Junior/High School","Calgary",4,0,2020-11-23
"1221","Junior/High School","North",9,0,2020-11-23
"1222","Shelter","Calgary",1,0,2020-11-23
"1223","Long-Term Care","Edmonton",1,0,2020-11-23
"1224","School","Edmonton",3,0,2020-11-23
"1225","Long-Term Care","Edmonton",1,0,2020-11-23
"1226","School","Edmonton",4,0,2020-11-23
"1227","Long-Term Care","Edmonton",83,9,2020-11-23
"1228","Social Service","Edmonton",10,0,2020-11-23
"1229","Long-Term Care","Edmonton",10,0,2020-11-23
"1230","Long-Term Care","Edmonton",86,15,2020-11-23
"1231","School","Edmonton",3,0,2020-11-23
"1232","Long-Term Care","Calgary",8,0,2020-11-23
"1233","School","Edmonton",1,0,2020-11-23
"1234","Junior/High School","Edmonton",5,0,2020-11-23
"1235","Communal","Calgary",3,0,2020-11-23
"1236","School","Edmonton",8,0,2020-11-23
"1237","Long-Term Care","Edmonton",7,1,2020-11-23
"1238","Long-Term Care","Edmonton",24,0,2020-11-23
"1239","School","Calgary",4,0,2020-11-23
"1240","Long-Term Care","Calgary",20,4,2020-11-23
"1241","Construction","Edmonton",4,0,2020-11-23
"1242","Long-Term Care","Edmonton",30,4,2020-11-24
"1243","Social Service","Calgary",1,0,2020-11-24
"1244","Shelter","Calgary",29,0,2020-11-24
"1245","Childcare","Calgary",3,0,2020-11-24
"1246","Long-Term Care","Calgary",41,4,2020-11-24
"1247","School","Edmonton",1,0,2020-11-24
"1248","Long-Term Care","Edmonton",5,0,2020-11-24
"1249","School","Edmonton",5,0,2020-11-24
"1250","Gym/Sports","Edmonton",7,0,2020-11-24
"1251","School","Edmonton",4,0,2020-11-24
"1252","School","Edmonton",3,0,2020-11-24
"1253","School","Edmonton",3,0,2020-11-24
"1254","School","Edmonton",8,0,2020-11-24
"1255","Long-Term Care","Central",2,0,2020-11-24
"1256","School","Calgary",8,0,2020-11-24
"1257","Long-Term Care","South",2,0,2020-11-24
"1258","Shelter","Edmonton",121,1,2020-11-24
"1259","Long-Term Care","Calgary",24,1,2020-11-25
"1260","School","Calgary",5,0,2020-11-25
"1261","School","Edmonton",2,0,2020-11-25
"1262","Long-Term Care","Edmonton",1,0,2020-11-25
"1263","Long-Term Care","South",6,1,2020-11-25
"1264","Social Service","Edmonton",1,0,2020-11-25
"1265","School","Calgary",10,0,2020-11-25
"1266","School","Calgary",10,0,2020-11-25
"1267","School","Edmonton",12,0,2020-11-25
"1268","School","Edmonton",10,0,2020-11-25
"1269","Long-Term Care","Edmonton",3,0,2020-11-25
"1270","Long-Term Care","Edmonton",132,23,2020-11-25
"1271","Junior/High School","Calgary",3,0,2020-11-25
"1272","Junior/High School","Central",7,0,2020-11-25
"1273","School","Central",6,0,2020-11-25
"1274","Long-Term Care","Edmonton",62,21,2020-11-25
"1275","Long-Term Care","North",3,0,2020-11-25
"1276","Junior/High School","North",17,0,2020-11-25
"1277","School","Calgary",4,0,2020-11-25
"1278","Long-Term Care","South",3,0,2020-11-25
"1279","Long-Term Care","Central",2,0,2020-11-25
"1280","Junior/High School","Calgary",4,0,2020-11-25
"1281","Junior/High School","Edmonton",2,0,2020-11-25
"1282","Junior/High School","Edmonton",3,0,2020-11-26
"1283","School","Calgary",6,0,2020-11-26
"1284","School","Calgary",8,0,2020-11-26
"1285","School","North",4,0,2020-11-26
"1286","Acute Care","Edmonton",58,4,2020-11-26
"1287","School","Edmonton",3,0,2020-11-26
"1288","School","Edmonton",3,0,2020-11-26
"1289","School","Edmonton",4,0,2020-11-26
"1290","Social Service","Calgary",1,0,2020-11-26
"1291","School","Edmonton",7,0,2020-11-26
"1292","Long-Term Care","Edmonton",5,0,2020-11-26
"1293","Private","Edmonton",8,0,2020-11-26
"1294","School","Edmonton",5,0,2020-11-26
"1295","School","Calgary",2,0,2020-11-26
"1296","School","Calgary",5,0,2020-11-26
"1297","Long-Term Care","Calgary",3,0,2020-11-26
"1298","Manufacturing","Edmonton",2,0,2020-11-26
"1299","Long-Term Care","Calgary",1,0,2020-11-26
"1300","Long-Term Care","Calgary",1,0,2020-11-26
"1301","School","Calgary",5,0,2020-11-26
"1302","Childcare","Edmonton",3,0,2020-11-26
"1303","Hotel","Calgary",9,0,2020-11-26
"1304","Long-Term Care","Central",2,0,2020-11-26
"1305","School","Central",1,0,2020-11-27
"1306","School","Calgary",4,0,2020-11-27
"1307","School","North",2,0,2020-11-27
"1308","Childcare","Edmonton",2,0,2020-11-27
"1309","School","Calgary",6,0,2020-11-27
"1310","Junior/High School","Calgary",3,0,2020-11-27
"1311","Long-Term Care","Edmonton",8,0,2020-11-27
"1312","Junior/High School","Calgary",4,0,2020-11-27
"1313","School","Edmonton",5,0,2020-11-27
"1314","School","Calgary",4,0,2020-11-27
"1315","School","South",2,0,2020-11-27
"1316","School","Edmonton",4,0,2020-11-27
"1317","Long-Term Care","Central",2,0,2020-11-27
"1318","School","Edmonton",9,0,2020-11-27
"1319","School","Calgary",2,0,2020-11-27
"1320","School","Calgary",7,0,2020-11-27
"1321","Business","Edmonton",7,0,2020-11-27
"1322","Food Manufacturing","Edmonton",6,0,2020-11-27
"1323","Acute Care","Edmonton",10,0,2020-11-27
"1324","Long-Term Care","North",5,0,2020-11-27
"1325","School","North",9,0,2020-11-27
"1326","School","Calgary",6,0,2020-11-27
"1327","Long-Term Care","Edmonton",1,0,2020-11-27
"1328","School","North",11,0,2020-11-27
"1329","Long-Term Care","Edmonton",8,0,2020-11-27
"1330","Hotel","Calgary",2,0,2020-11-27
"1331","Long-Term Care","Edmonton",24,1,2020-11-27
"1332","School","Central",3,0,2020-11-28
"1333","Communal","North",16,0,2020-11-28
"1334","Construction","Edmonton",17,0,2020-11-28
"1335","School","Calgary",2,0,2020-11-28
"1336","School","Calgary",4,0,2020-11-28
"1337","Gym/Sports","Calgary",22,0,2020-11-28
"1338","Hotel","Edmonton",1,0,2020-11-28
"1339","School","Edmonton",5,0,2020-11-28
"1340","School","Calgary",8,0,2020-11-28
"1341","Long-Term Care","Calgary",26,2,2020-11-28
"1342","Social Service","South",90,1,2020-11-28
"1343","Social Service","Edmonton",27,0,2020-11-28
"1344","Long-Term Care","Edmonton",5,0,2020-11-28
"1345","Childcare","Calgary",11,0,2020-11-28
"1346","Long-Term Care","Calgary",2,0,2020-11-28
"1347","Long-Term Care","Edmonton",1,0,2020-11-28
"1348","Long-Term Care","South",1,0,2020-11-28
"1349","School","Edmonton",2,0,2020-11-29
"1350","School","Edmonton",3,0,2020-11-29
"1351","School","Calgary",3,0,2020-11-29
"1352","Restaurant","Calgary",3,0,2020-11-29
"1353","Long-Term Care","South",1,0,2020-11-29
"1354","Acute Care","Calgary",2,0,2020-11-29
"1355","Long-Term Care","Edmonton",44,4,2020-11-29
"1356","Long-Term Care","North",2,0,2020-11-29
"1357","Social Service","North",40,1,2020-11-29
"1358","Long-Term Care","Edmonton",2,0,2020-11-29
"1359","School","Central",2,0,2020-11-29
"1360","Long-Term Care","Edmonton",5,0,2020-11-29
"1361","Junior/High School","Calgary",9,0,2020-11-29
"1362","Long-Term Care","Central",11,0,2020-11-29
"1363","Long-Term Care","Calgary",145,12,2020-11-29
"1364","Social Service","Calgary",2,0,2020-11-29
"1365","Acute Care","North",6,0,2020-11-29
"1366","Long-Term Care","Edmonton",20,2,2020-11-29
"1367","Junior/High School","Central",7,0,2020-11-30
"1368","School","Edmonton",6,0,2020-11-30
"1369","Social Service","Edmonton",3,0,2020-11-30
"1370","Gym/Sports","Calgary",1,0,2020-11-30
"1371","Social Service","Central",3,0,2020-11-30
"1372","School","Central",2,0,2020-11-30
"1373","Social Service","Calgary",1,0,2020-11-30
"1374","Junior/High School","Central",2,0,2020-11-30
"1375","Social Service","Edmonton",2,0,2020-11-30
"1376","Junior/High School","Edmonton",2,0,2020-11-30
"1377","Long-Term Care","Edmonton",27,4,2020-11-30
"1378","School","Calgary",4,0,2020-11-30
"1379","Long-Term Care","North",1,0,2020-11-30
"1380","Long-Term Care","South",1,1,2020-11-30
"1381","Long-Term Care","Calgary",5,0,2020-11-30
"1382","Long-Term Care","Edmonton",1,0,2020-11-30
"1383","Long-Term Care","North",1,0,2020-11-30
"1384","Long-Term Care","Calgary",3,0,2020-11-30
"1385","Long-Term Care","Calgary",7,0,2020-12-01
"1386","Group Home","Central",4,0,2020-12-01
"1387","Manufacturing","South",5,0,2020-12-01
"1388","Hotel","Calgary",2,0,2020-12-01
"1389","School","Calgary",3,0,2020-12-01
"1390","School","Central",5,0,2020-12-01
"1391","Acute Care","Calgary",5,0,2020-12-01
"1392","Group Home","South",1,0,2020-12-01
"1393","Junior/High School","Central",3,0,2020-12-01
"1394","Junior/High School","South",3,0,2020-12-01
"1395","School","Calgary",3,0,2020-12-01
"1396","Social Service","Calgary",5,1,2020-12-01
"1397","School","Calgary",7,0,2020-12-01
"1398","Childcare","South",3,0,2020-12-01
"1399","School","Edmonton",3,0,2020-12-01
"1400","Social Service","Calgary",3,0,2020-12-01
"1401","Long-Term Care","Edmonton",1,0,2020-12-01
"1402","Long-Term Care","Central",1,0,2020-12-01
"1403","School","Calgary",3,0,2020-12-01
"1404","School","Calgary",7,0,2020-12-01
"1405","Construction","South",5,0,2020-12-01
"1406","School","Calgary",4,0,2020-12-01
"1407","Gym/Sports","Calgary",9,0,2020-12-01
"1408","Private","South",6,0,2020-12-02
"1409","School","Calgary",6,0,2020-12-02
"1410","School","Calgary",3,0,2020-12-02
"1411","School","Calgary",9,0,2020-12-02
"1412","Junior/High School","South",1,0,2020-12-02
"1413","School","Edmonton",2,0,2020-12-02
"1414","Long-Term Care","Edmonton",3,0,2020-12-02
"1415","Event","South",6,0,2020-12-02
"1416","Long-Term Care","Calgary",35,3,2020-12-02
"1417","Restaurant","Calgary",3,0,2020-12-02
"1418","Junior/High School","North",6,0,2020-12-02
"1419","Junior/High School","Edmonton",6,0,2020-12-02
"1420","School","Edmonton",5,0,2020-12-02
"1421","Group Home","South",12,1,2020-12-02
"1422","Medical","Edmonton",6,0,2020-12-02
"1423","School","Edmonton",3,0,2020-12-02
"1424","Gym/Sports","Central",4,0,2020-12-02
"1425","School","Central",5,0,2020-12-02
"1426","Social Service","Edmonton",1,0,2020-12-02
"1427","Construction","South",3,0,2020-12-02
"1428","School","Edmonton",4,0,2020-12-02
"1429","School","Edmonton",4,0,2020-12-02
"1430","Long-Term Care","Edmonton",6,0,2020-12-02
"1431","Childcare","Edmonton",2,0,2020-12-02
"1432","Long-Term Care","Calgary",22,0,2020-12-02
"1433","School","South",2,0,2020-12-02
"1434","Group Home","Edmonton",3,0,2020-12-02
"1435","Long-Term Care","Central",15,0,2020-12-02
"1436","School","Edmonton",2,0,2020-12-02
"1437","School","Edmonton",3,0,2020-12-02
"1438","Manufacturing","South",9,0,2020-12-02
"1439","Long-Term Care","Calgary",1,0,2020-12-02
"1440","Long-Term Care","Central",1,0,2020-12-02
"1441","School","Calgary",4,0,2020-12-03
"1442","School","Central",2,0,2020-12-03
"1443","School","Central",8,0,2020-12-03
"1444","Social Service","Edmonton",1,0,2020-12-03
"1445","School","Edmonton",6,0,2020-12-03
"1446","Group Home","Edmonton",1,0,2020-12-03
"1447","Long-Term Care","Calgary",1,0,2020-12-03
"1448","Communal","North",23,0,2020-12-03
"1449","Group Home","Edmonton",4,0,2020-12-03
"1450","School","Central",3,0,2020-12-03
"1451","School","Edmonton",4,0,2020-12-03
"1452","Correctional","South",231,0,2020-12-03
"1453","Long-Term Care","Edmonton",2,0,2020-12-03
"1454","Long-Term Care","Edmonton",2,0,2020-12-03
"1455","Manufacturing","South",11,0,2020-12-03
"1456","Hotel","Calgary",4,0,2020-12-03
"1457","School","Edmonton",11,0,2020-12-03
"1458","School","South",2,0,2020-12-03
"1459","School","Calgary",2,0,2020-12-03
"1460","School","Edmonton",2,0,2020-12-03
"1461","School","Edmonton",5,0,2020-12-03
"1462","Acute Care","Central",21,5,2020-12-03
"1463","School","Edmonton",3,0,2020-12-03
"1464","Long-Term Care","Edmonton",1,0,2020-12-04
"1465","Childcare","Edmonton",2,0,2020-12-04
"1466","Long-Term Care","Edmonton",1,0,2020-12-04
"1467","Long-Term Care","Edmonton",1,0,2020-12-04
"1468","Long-Term Care","Edmonton",47,4,2020-12-04
"1469","Acute Care","Edmonton",4,1,2020-12-04
"1470","Childcare","Edmonton",3,0,2020-12-04
"1471","Junior/High School","Central",8,0,2020-12-04
"1472","Childcare","Calgary",2,0,2020-12-04
"1473","Childcare","Calgary",2,0,2020-12-04
"1474","Childcare","Edmonton",5,0,2020-12-04
"1475","Long-Term Care","North",8,0,2020-12-04
"1476","Long-Term Care","Edmonton",1,0,2020-12-04
"1477","Acute Care","North",7,1,2020-12-04
"1478","Social Service","Edmonton",7,0,2020-12-04
"1479","Private","Calgary",4,0,2020-12-04
"1480","School","Edmonton",2,0,2020-12-04
"1481","School","Calgary",2,0,2020-12-04
"1482","Long-Term Care","Edmonton",69,18,2020-12-04
"1483","Long-Term Care","Edmonton",9,0,2020-12-04
"1484","Social Service","Edmonton",1,0,2020-12-04
"1485","Group Home","Edmonton",6,0,2020-12-04
"1486","Restaurant","Edmonton",5,0,2020-12-04
"1487","Medical","Edmonton",11,0,2020-12-04
"1488","Long-Term Care","South",2,0,2020-12-04
"1489","Long-Term Care","Calgary",2,0,2020-12-04
"1490","Manufacturing","Edmonton",7,0,2020-12-04
"1491","Manufacturing","Central",11,0,2020-12-04
"1492","School","Calgary",17,0,2020-12-04
"1493","School","South",2,0,2020-12-04
"1494","Junior/High School","South",4,0,2020-12-04
"1495","Junior/High School","South",2,0,2020-12-04
"1496","Long-Term Care","Edmonton",7,0,2020-12-04
"1497","Long-Term Care","Calgary",19,2,2020-12-05
"1498","Long-Term Care","Calgary",1,0,2020-12-05
"1499","Long-Term Care","Calgary",1,0,2020-12-05
"1500","Long-Term Care","Central",1,0,2020-12-05
"1501","School","North",9,0,2020-12-05
"1502","Acute Care","Calgary",12,0,2020-12-05
"1503","Junior/High School","Calgary",2,0,2020-12-05
"1504","Junior/High School","Edmonton",2,0,2020-12-05
"1505","School","Edmonton",3,0,2020-12-05
"1506","School","Edmonton",1,0,2020-12-05
"1507","School","Edmonton",2,0,2020-12-05
"1508","School","Calgary",2,0,2020-12-05
"1509","School","Edmonton",2,0,2020-12-05
"1510","Junior/High School","Calgary",33,0,2020-12-05
"1511","Long-Term Care","Calgary",2,0,2020-12-05
"1512","Junior/High School","Calgary",5,0,2020-12-05
"1513","School","Edmonton",4,0,2020-12-05
"1514","School","Calgary",4,0,2020-12-05
"1515","Social Service","Edmonton",4,0,2020-12-05
"1516","Social Service","North",6,0,2020-12-05
"1517","Long-Term Care","Edmonton",4,0,2020-12-05
"1518","Social Service","Calgary",9,0,2020-12-05
"1519","Long-Term Care","North",8,2,2020-12-05
"1520","School","Calgary",7,0,2020-12-06
"1521","Long-Term Care","Central",39,5,2020-12-06
"1522","Gym/Sports","Calgary",8,0,2020-12-06
"1523","Gym/Sports","Central",8,0,2020-12-06
"1524","Childcare","South",2,0,2020-12-06
"1525","Food Manufacturing","Calgary",76,0,2020-12-06
"1526","Food Manufacturing","Calgary",1,0,2020-12-06
"1527","Long-Term Care","Edmonton",8,1,2020-12-06
"1528","Gym/Sports","Edmonton",3,0,2020-12-06
"1529","School","Calgary",2,0,2020-12-06
"1530","School","Edmonton",2,0,2020-12-06
"1531","Long-Term Care","Edmonton",3,0,2020-12-06
"1532","Long-Term Care","South",13,0,2020-12-06
"1533","Long-Term Care","Calgary",55,9,2020-12-06
"1534","Long-Term Care","South",1,0,2020-12-06
"1535","School","Edmonton",6,0,2020-12-06
"1536","School","Calgary",4,0,2020-12-06
"1537","Childcare","Edmonton",4,0,2020-12-06
"1538","Junior/High School","Edmonton",20,0,2020-12-06
"1539","Food Manufacturing","Edmonton",15,0,2020-12-06
"1540","School","Calgary",3,0,2020-12-06
"1541","Long-Term Care","Edmonton",2,0,2020-12-06
"1542","Church","Calgary",2,0,2020-12-07
"1543","Long-Term Care","North",2,0,2020-12-07
